Name,Country,Local,Floor,Apartment,Parking
Tal Levi,972,566056474,20,166,1009
Ilana Elbaz,972,501160376,12,51,657
Yuval Sasson,972,577232809,7,121,137
Sharon Gabbay,972,537071754,7,68,1172
Ariel Alfasi,972,593177063,13,200,120
Ilana Peretz,972,522845867,11,150,460
Yuval BenAri,972,529456404,21,150,787
Erez Peretz,972,514063667,1,30,1174
Dor Sela,972,513050322,6,141,924
Shira Shalom,972,587586779,30,81,880
Lior Halabi,972,524675240,6,46,64
Alon Moyal,972,592336963,25,196,1245
Rina Avraham,972,581194119,11,38,230
Rotem Gabbay,972,555659621,26,44,351
Roi Shalom,972,541304348,16,99,752
Gadi Sela,972,501526524,17,172,1026
Nadav Shalom,972,585538254,4,28,1190
Ronen Halimi,972,579693852,15,101,691
Adi Derby,972,512623801,5,190,1401
Ronen Shapira,972,560353640,23,16,897
Lior Peretz,972,542300637,21,145,1351
Hila Tzadok,972,514509100,24,120,1447
Vered Gold,972,547396496,8,141,1161
Alon BenAri,972,530974460,17,60,1479
Itay Cohen,972,538345665,13,194,1229
Tal BenAri,972,523250201,25,193,1173
Talia Mizrahi,972,571491095,23,34,606
Rina Dayan,972,513470190,26,186,1007
Rotem Cohen,972,567006018,10,74,142
Dalia Derby,972,561016678,6,154,1499
Rina Weiss,972,591515123,13,154,862
Dor Alfasi,972,586852154,3,118,422
Asaf Dahan,972,556707811,14,158,1351
Nadav Mizrahi,972,544408186,1,70,118
Tamar Gold,972,554380238,28,17,383
Noa Halimi,972,507518674,20,70,1008
Maya Dayan,972,571196589,8,83,796
Alon Amar,972,503047280,25,149,481
Maya Melamed,972,596283510,9,84,377
Maya Weiss,972,535976180,7,188,947
Hadar Tzadok,972,539111206,7,87,1338
Ilana Golan,972,530393311,0,97,387
Hila Gabbay,972,553346613,30,144,1463
Erez Avitan,972,525824473,4,169,1012
Adi Baruch,972,532420983,14,85,390
Sharon Halabi,972,515271694,13,15,974
Noa Cohen,972,526388766,19,70,705
Noa Weiss,972,587647085,18,76,411
Yarden Avitan,972,554351787,26,27,368
Lior Kaplan,972,540116296,29,175,671
Yossi Melamed,972,576150615,26,17,52
Roi Golan,972,587454224,2,118,1037
Itay Sabag,972,531501252,19,83,377
Michal Golani,972,574138695,17,132,870
Shelly Golani,972,552346616,16,63,176
Gal Avraham,972,525958756,17,139,535
Nadav Avitan,972,523754359,24,134,1052
Barak Shmueli,972,519743160,11,183,1164
Barak Cohen,972,559511046,26,102,1192
Noy Gabbay,972,595239759,16,15,343
Gal Ninio,972,577436880,27,72,1087
Erez Melamed,972,583401071,6,128,1478
Kfir Ninio,972,564108904,18,163,617
Barak Derby,972,585375763,27,146,1176
Asaf Halabi,972,559722051,19,48,280
Michal Gold,972,545060453,17,85,310
Adi Malka,972,557150279,8,56,1024
Or Mor,972,544465075,2,81,449
Omer Levi,972,565737566,10,94,464
Ronen Dayan,972,548915735,22,112,2
Kfir Golan,972,543706540,21,24,169
Idan Alfasi,972,583420309,12,137,661
Omer Golani,972,528017088,3,25,583
Shira Ninio,972,542384291,2,183,245
Maya Moyal,972,523557194,6,122,1393
Nadav Halimi,972,594582870,4,165,636
Asaf BenAri,972,531152467,22,125,1027
Nadav Halabi,972,519981684,10,178,831
Kfir Haddad,972,535361857,25,136,428
Hadar Sultan,972,536345442,30,167,1182
Tal Derby,972,510819169,13,173,1419
Dor Halabi,972,530231912,28,136,1326
Tamar Kimchi,972,599313860,16,60,335
Or Hazan,972,503281681,29,93,266
Tamar Tal,972,586683480,18,9,1070
Idan Shmueli,972,562496211,9,86,687
Rotem Avitan,972,545888408,28,34,820
Hadar Dahan,972,536365751,4,57,1050
Noy Halabi,972,546815273,3,50,324
Barak Hazan,972,517877361,10,14,78
Yossi Mizrahi,972,527045130,0,111,206
Talia Sultan,972,564013899,15,32,259
Kfir Mizrahi,972,591484839,24,56,284
Hadar Azoulay,972,555333925,6,197,806
Yoav Levi,972,541255105,19,169,994
Yoav Mizrahi,972,588070797,1,177,1476
Idan Golan,972,503753669,17,157,1462
Rotem Golan,972,567603064,29,59,1170
Tamar Mizrahi,972,510529748,7,26,477
Rotem Amar,972,554731996,28,145,1412
Ronen Biton,972,584178311,23,48,1249
Gal Azoulay,972,514471298,3,51,15
Adi Cohen,972,560851611,28,148,526
Omer Halimi,972,542311054,19,78,15
Ilana Melamed,972,553928329,20,88,1239
Hila Gold,972,594098459,25,26,1185
Tal Azoulay,972,555661306,16,186,701
Erez Peretz,972,557107108,29,137,611
Gadi Ninio,972,588266820,27,180,547
Shira Golan,972,532050402,13,20,830
Ariel Sharabi,972,543255194,24,173,54
Gal Hazan,972,548313118,29,61,1167
Alon Gold,972,545437713,6,102,158
Yossi Gabbay,972,567070205,5,193,1218
Shai Gold,972,567261559,13,120,334
Hadar BenAri,972,509930126,10,18,391
Yuval Tal,972,550910972,30,20,339
Maya BenAmi,972,539164448,11,48,199
Michal Malka,972,533874889,19,156,1003
Shai Halabi,972,562121743,30,60,647
Kfir Peretz,972,535345688,19,69,1376
Yuval Gold,972,556764551,0,76,106
Itay Gabbay,972,588179427,7,166,1260
Dor Golan,972,553431222,9,18,1224
Hadar Shapira,972,517643253,7,75,1208
Tamar Moyal,972,570514651,6,190,1375
Yuval BenAmi,972,580981433,0,77,738
Rina Dahan,972,552956585,29,193,125
Yael Dahan,972,599622651,20,4,291
Lior Peretz,972,577479519,27,21,300
Leah Shmueli,972,597943917,12,151,195
Nadav Avitan,972,537099634,29,55,1053
Alon Biton,972,595809927,3,60,977
Erez Koren,972,509602516,18,86,731
Shira Malka,972,587087943,6,84,1401
Yuval Shmueli,972,505138516,9,77,484
Ilana Sharabi,972,566232871,26,177,475
Yossi Sasson,972,509767666,6,194,1305
Yossi Shalom,972,581616645,12,182,1249
Shai Kaplan,972,535633016,2,126,1162
Tamar Sabag,972,540118790,27,144,95
Tamar Moyal,972,564048528,23,130,1452
Yossi Derby,972,529821444,26,41,1496
Yuval Kimchi,972,524969432,6,110,560
Erez Alfasi,972,598009317,19,146,82
Aviv Avitan,972,585884871,21,5,300
Kfir BenAri,972,556591966,29,4,367
Michal Peretz,972,597403521,6,164,794
Yoav Sharabi,972,598113671,23,132,358
Lior Mor,972,540110772,23,177,345
Sharon Melamed,972,513308389,26,175,767
Yuval Shalom,972,523766600,8,4,923
Daniel Dahan,972,513633631,6,132,1021
Aviv Halabi,972,545692348,1,148,144
Yuval Azoulay,972,598330040,17,65,1455
Dalia Halimi,972,599153484,29,89,401
Michal Sultan,972,529327432,24,122,1076
Ilana Haddad,972,531613039,30,54,1147
Gal Mor,972,586229451,13,107,399
Hadar Alfasi,972,546454115,22,197,1340
Or Haddad,972,574164782,1,52,1405
Erez Sasson,972,520339632,18,22,137
Roi Levi,972,563460585,29,130,80
Noa Avitan,972,519460532,25,39,249
Rina Weiss,972,561551775,12,128,1074
Michal Hazan,972,507155858,22,106,1465
Ilana Kimchi,972,598191242,27,15,973
Roi Melamed,972,537148971,22,200,1047
Barak Melamed,972,574393938,21,148,1063
Ilana Dahan,972,531490375,29,129,311
Asaf Sasson,972,550838018,7,56,605
Talia Hazan,972,552155378,14,25,162
Or Moyal,972,563152892,13,147,153
Omer Kaplan,972,568265516,3,106,279
Ariel Golan,972,579132794,7,12,629
Roi Golani,972,570562721,20,150,1033
Noy Halimi,972,519725257,30,56,1442
Ronen Golan,972,591978772,26,114,485
Lior Amar,972,502455774,10,88,1193
Aviv Ninio,972,511327167,14,149,1161
Nadav Shapira,972,518896779,19,100,388
Idan Hazan,972,531616929,24,186,1334
Lior Mizrahi,972,568264649,28,31,12
Yossi Koren,972,533972915,24,35,103
Eli Derby,972,557216284,13,71,1328
Yona Hazan,972,569689212,21,2,954
Omer Amar,972,553839311,23,43,515
Vered Koren,972,515874419,8,117,991
Rotem Mizrahi,972,562449928,9,57,189
Tal Sultan,972,567647643,6,186,365
Tal Lupin,972,523124461,23,151,334
Yarden Avitan,972,543072358,3,107,1178
Daniel Shmueli,972,570852739,30,156,1435
Dalia Peretz,972,534490742,21,49,574
Rina Koren,972,554705875,19,84,687
Dana Gabbay,972,543344854,13,183,601
Nadav Tal,972,506044482,29,87,304
Talia Halabi,972,550210676,21,134,1032
Ilana Hazan,972,504272053,16,19,127
Erez Golani,972,542246654,25,121,277
Yuval Tzadok,972,513947511,9,117,1070
Nadav Shmueli,972,508380551,17,106,425
Rina Weiss,972,532881916,0,89,1367
Gadi Moyal,972,563092408,30,146,354
Ilana Mizrahi,972,557169243,18,107,1470
Itay Amar,972,576202829,25,145,1368
Nadav Elbaz,972,533916911,8,58,606
Rina Malka,972,518572652,0,139,1240
Or Gold,972,536522850,22,129,119
Yael Sharabi,972,572266155,13,66,1162
Hadar Sharabi,972,566742776,4,189,1216
Erez Mizrahi,972,589945508,23,51,1048
Michal Biton,972,582090719,14,168,808
Kfir Halabi,972,584275220,22,15,1195
Omer Kaplan,972,568119971,7,90,629
Or Golan,972,526236804,22,152,982
Noa Cohen,972,568142318,23,129,1453
Shai Azoulay,972,534330977,26,88,100
Yarden Ninio,972,538582214,17,198,712
Noy Derby,972,577374255,8,81,1031
Gadi Ninio,972,524542442,4,3,116
Aviv Cohen,972,594284897,5,43,163
Nadav Ninio,972,534104666,1,107,1230
Aviv Levi,972,504111038,2,163,1163
Gadi Avraham,972,548815550,11,15,1145
Sharon Derby,972,579942871,29,19,1068
Daniel Golani,972,528329213,19,103,1457
Rina Mor,972,561885488,22,163,1410
Noy Azoulay,972,541497506,12,150,1308
Itay Tzadok,972,533461925,8,184,378
Ronen Biton,972,599683899,19,45,643
Idan Haddad,972,551948281,30,184,845
Yael Elbaz,972,576701788,1,183,757
Vered Tal,972,583752773,7,184,1268
Yona Weiss,972,562656562,2,94,598
Idan Sharabi,972,522837852,2,173,329
Yael Sharabi,972,594634539,0,181,915
Or Sasson,972,513695918,26,130,205
Roi Avitan,972,598003948,17,131,331
Omer Ashkenazi,972,585961909,6,27,1035
Yona Lupin,972,591413170,6,66,218
Yuval Cohen,972,560153303,28,33,593
Lior Malka,972,543680587,15,148,1179
Adi Golan,972,546281004,16,50,1394
Dor Malka,972,551758605,25,110,130
Adi Halabi,972,552786699,3,72,1252
Erez Sela,972,532250837,6,138,1257
Daniel Alfasi,972,553558157,14,96,1357
Ronen Gold,972,517926861,17,76,161
Barak Dayan,972,526928205,27,86,1371
Dana Melamed,972,511944354,1,85,289
Yoav BenAmi,972,529928143,25,98,924
Rina Sasson,972,530325140,23,85,235
Rina BenAmi,972,594778309,14,131,1404
Asaf Hazan,972,561318835,7,98,1466
Vered Avraham,972,527690221,11,11,806
Ilana Golani,972,554222731,28,14,497
Leah Hazan,972,593744570,28,2,1011
Yossi Sasson,972,503365831,29,133,1223
Roi Halimi,972,582850752,22,120,580
Lior Halabi,972,512038833,22,119,1158
Hila Elbaz,972,557956139,8,190,703
Vered Koren,972,561846920,5,110,1493
Aviv Golani,972,570520289,27,93,950
Tamar Moyal,972,533023769,12,159,505
Vered Shapira,972,550265338,26,54,1046
Yoav Kimchi,972,586231002,24,106,371
Leah Peretz,972,503120169,26,105,973
Tal Derby,972,506827202,26,33,1384
Vered Shapira,972,500713499,13,130,524
Lior BenAri,972,591679825,26,142,1296
Nadav Alfasi,972,544217464,23,56,278
Erez Shmueli,972,514021459,29,139,1378
Vered Elbaz,972,553333213,14,27,127
Shira Sela,972,556815828,10,78,423
Vered Melamed,972,524940642,28,170,162
Kfir Dayan,972,578739118,23,3,919
Or Golani,972,555423180,29,81,1455
Yael Gold,972,598731598,7,156,1026
Nadav Baruch,972,577024224,27,126,643
Yael Mizrahi,972,595179408,9,31,1441
Lior Sasson,972,508437491,24,95,1492
Michal Azoulay,972,501861959,0,193,938
Eli Halabi,972,576069454,8,52,520
Lior Koren,972,520212353,24,11,934
Rina Hazan,972,522982614,20,142,1049
Vered Gabbay,972,599946910,18,140,1053
Rina Tal,972,552913514,29,149,1183
Shelly Alfasi,972,529500845,14,93,196
Michal Ninio,972,593001350,9,4,766
Tal Tzadok,972,543729306,24,72,421
Vered Sultan,972,522600662,18,73,444
Alon Halimi,972,505458230,24,32,1239
Idan Baruch,972,506015457,8,39,690
Rina Avitan,972,512761765,25,4,485
Idan Sabag,972,562305537,19,171,407
Idan Shmueli,972,541477761,26,115,89
Tamar Avraham,972,512092150,25,190,675
Or Shalom,972,575888080,3,113,116
Yarden Shalom,972,569441479,21,52,529
Ilana Sabag,972,549213515,29,12,1035
Sharon Sharabi,972,524823743,13,115,1467
Yuval Koren,972,544645777,18,194,1480
Hila Avraham,972,543580260,13,105,1391
Yarden Lupin,972,583039443,26,69,1300
Lior Malka,972,592274795,13,77,1138
Daniel Dahan,972,537460937,9,146,354
Roi Halabi,972,521035857,19,119,3
Ariel Elbaz,972,525989876,10,76,33
Noa Lupin,972,599216443,9,113,613
Ronen Mor,972,553948757,4,86,924
Kfir Gabbay,972,587984025,29,47,1049
Asaf Baruch,972,560816810,29,14,1123
Rina Shmueli,972,589981467,17,44,1165
Shira Amar,972,570441478,6,70,1056
Yarden Peretz,972,512419561,8,179,53
Idan Tal,972,543098410,5,114,1189
Itay Alfasi,972,570455393,15,85,789
Ronen Moyal,972,579636788,22,118,728
Yossi Mizrahi,972,526772089,6,58,1378
Shai Mor,972,548851701,27,148,714
Barak Weiss,972,540693588,10,132,569
Michal Derby,972,555060982,22,152,64
Alon Sela,972,558530787,2,177,47
Asaf Tal,972,524754341,0,86,872
Yarden Shapira,972,591249668,12,158,212
Michal Gabbay,972,569402621,10,23,1476
Kfir Avitan,972,511639692,30,19,728
Tamar BenAri,972,549714354,12,131,549
Dana Shalom,972,573498223,16,110,333
Ronen Kimchi,972,543970136,10,22,245
Itay Gold,972,521142354,6,71,1086
Erez BenAmi,972,587946540,9,122,1433
Yossi Lupin,972,500048122,1,24,733
Leah Sultan,972,514590240,18,43,1335
Shelly Derby,972,580991204,8,90,739
Ronen Ninio,972,542444896,11,185,1111
Aviv Tal,972,530209236,13,177,457
Daniel Tal,972,553463819,8,105,1001
Ronen Ashkenazi,972,572413638,20,180,847
Alon Golani,972,597201716,26,4,320
Maya Elbaz,972,505630681,12,77,1134
Shelly Gold,972,580674764,11,43,1108
Itay Dayan,972,594018275,10,151,498
Erez Baruch,972,539240387,29,161,1269
Nadav Mizrahi,972,561708367,30,194,932
Michal Haddad,972,564217942,8,169,804
Daniel Moyal,972,505003615,9,119,679
Yael Alfasi,972,543540059,13,39,1004
Rina BenAmi,972,573604883,20,52,562
Itay Gabbay,972,553670822,10,68,778
Hila Avraham,972,558404375,8,79,1264
Shai Ninio,972,509851113,21,24,1249
Shelly Mizrahi,972,511241119,23,16,1116
Gal Mizrahi,972,597405998,25,58,712
Talia Halabi,972,565294016,19,22,455
Rotem Cohen,972,589723458,30,64,330
Ronen Sharabi,972,505667780,14,1,611
Talia Sabag,972,518401871,27,194,864
Lior Avitan,972,519553341,10,12,197
Dor Elbaz,972,570217770,3,137,441
Dana Peretz,972,516868150,24,197,577
Alon BenAri,972,540457743,27,130,603
Gadi Mizrahi,972,518748204,26,48,272
Hadar Halimi,972,597369377,15,146,185
Lior Alfasi,972,564144835,0,158,916
Itay Ninio,972,568918193,20,28,1092
Aviv Sabag,972,556830926,28,15,121
Barak Melamed,972,505844767,0,27,531
Leah Dahan,972,581293049,15,185,1464
Lior Lupin,972,515773237,24,25,591
Itay Shalom,972,552103137,23,23,270
Dor Golani,972,582146090,11,152,91
Talia Mor,972,590374878,24,3,261
Ariel Halimi,972,560146934,15,78,556
Rina Dahan,972,514317226,20,123,426
Omer Tal,972,502574236,0,148,872
Tal Hazan,972,516755329,21,103,507
Barak BenAmi,972,579163942,2,50,771
Shira Azoulay,972,580564568,1,189,401
Maya BenAri,972,500877794,28,40,529
Idan Biton,972,525861110,19,76,974
Shelly Halimi,972,509167165,30,11,315
Itay Lupin,972,595555677,6,38,152
Shira Tal,972,568642429,28,124,1237
Dana Mor,972,534670934,29,46,285
Michal Sabag,972,547348803,28,74,183
Dor Amar,972,508865770,28,131,161
Idan Elbaz,972,589802731,30,153,828
Sharon Peretz,972,579609644,19,188,287
Dalia Ninio,972,555584723,22,16,884
Ariel Tzadok,972,567976244,14,40,764
Yoav Peretz,972,506603617,6,182,753
Itay Avitan,972,514853513,17,168,709
Hadar Halimi,972,533437251,12,13,1426
Yossi Alfasi,972,510271282,18,154,242
Leah Tal,972,569785560,19,104,1365
Shira Ninio,972,551842759,15,194,529
Roi Golan,972,588757381,30,60,98
Omer Baruch,972,548890405,12,161,821
Gadi Halabi,972,552704183,27,166,400
Nadav Shmueli,972,586205892,25,138,1077
Gal BenAmi,972,519128583,22,115,681
Barak BenAri,972,588074068,4,192,568
Noa Alfasi,972,589761587,23,154,302
Roi BenAmi,972,530916511,27,195,1460
Vered Tzadok,972,500575489,11,13,1244
Yona Peretz,972,597980116,26,165,159
Leah Lupin,972,555227932,23,169,1453
Leah Cohen,972,518775365,1,145,1305
Ronen Haddad,972,544429161,20,117,1232
Nadav Koren,972,560963586,1,181,1102
Lior BenAmi,972,580961994,11,75,312
Yoav Levi,972,586122562,10,147,1103
Maya Mor,972,564011820,8,114,1065
Leah Peretz,972,570037228,25,130,1253
Dana Sasson,972,518644008,19,170,733
Eli Sabag,972,548316538,1,82,1
Hila Sela,972,514496671,27,159,1094
Rina Derby,972,533795455,14,149,795
Yuval Baruch,972,517255243,10,187,152
Yael Amar,972,527987894,4,24,1137
Shelly Levi,972,594453072,7,41,726
Noy Ashkenazi,972,516357260,27,34,836
Asaf Dayan,972,579983357,15,40,1204
Kfir Halimi,972,582752807,4,38,84
Sharon Weiss,972,529642395,9,174,569
Yuval Moyal,972,518260876,2,171,240
Lior Gabbay,972,594995522,13,171,1427
Itay Shapira,972,586560419,27,27,62
Hila Haddad,972,549817904,10,21,1138
Tal Gabbay,972,582089084,2,111,573
Yossi Dayan,972,524873167,9,34,357
Hila Dahan,972,558633688,6,115,113
Maya Sela,972,591681962,15,117,1371
Yona Dahan,972,567610278,1,15,1264
Tamar Shalom,972,583008520,1,101,631
Tamar Avitan,972,532852383,13,2,576
Yoav Gold,972,527652861,26,9,1137
Yael Sasson,972,513298511,9,149,421
Lior Biton,972,568224307,4,47,970
Yona Cohen,972,598284309,29,87,1312
Yossi Sharabi,972,546279673,9,128,833
Sharon Avraham,972,595026807,14,100,1456
Leah Malka,972,512700362,19,15,1040
Gadi Kaplan,972,571072017,21,67,1227
Omer Tal,972,559037933,8,198,249
Asaf Halimi,972,540292789,25,47,418
Aviv Cohen,972,514663089,20,135,31
Or Gabbay,972,523364805,3,49,517
Dor Sultan,972,500840268,3,188,178
Roi BenAmi,972,591073388,27,44,304
Yael Malka,972,509310275,15,54,260
Yona Biton,972,540356161,27,146,998
Tamar Alfasi,972,504676786,21,68,174
Roi Golan,972,550844903,10,97,1298
Vered Tal,972,509305676,29,40,1244
Gal Sela,972,523669770,26,81,740
Dalia Shapira,972,524935888,7,16,1290
Alon Tzadok,972,500129470,19,71,303
Shira Shalom,972,574814435,8,90,478
Barak Koren,972,560570054,0,49,93
Dor Cohen,972,518917341,22,168,258
Erez Ninio,972,589597565,9,66,1198
Or Kaplan,972,518732164,5,80,355
Daniel Golani,972,582228924,15,165,1455
Daniel Avitan,972,561098097,9,104,746
Tal Peretz,972,542082499,3,63,793
Yona Moyal,972,585788456,11,82,606
Erez Azoulay,972,516246342,11,56,1358
Yael Halabi,972,590468227,10,161,544
Shelly Shalom,972,523680676,23,129,560
Or Melamed,972,525252676,1,84,982
Hadar Biton,972,539494961,25,182,1261
Barak Alfasi,972,509770473,30,100,1467
Shelly Sharabi,972,531376033,18,100,339
Itay Kaplan,972,523581847,16,82,504
Or Tzadok,972,587794305,22,66,27
Shira Weiss,972,525907621,13,52,1077
Sharon Derby,972,529639556,15,37,1081
Noy Sela,972,541002503,5,129,1255
Barak Lupin,972,532075783,5,98,1000
Alon Cohen,972,520808942,23,26,1365
Yarden Gold,972,526602238,2,88,908
Adi Ashkenazi,972,546648683,10,96,62
Alon Ninio,972,543188562,1,105,1246
Shelly Golani,972,558656753,12,9,1029
Ilana Elbaz,972,550869199,23,33,998
Itay Mor,972,577460826,2,199,674
Yossi Sultan,972,525603921,12,63,211
Yossi Dayan,972,500710945,29,110,39
Ariel Derby,972,594469010,26,3,783
Shai Elbaz,972,565154989,29,78,454
Idan Halabi,972,573938744,15,195,128
Or Sela,972,531942618,1,130,929
Noy Sharabi,972,503749140,13,71,218
Eli Halimi,972,542227093,0,73,935
Nadav Sasson,972,529926143,12,122,1470
Ronen Avitan,972,549815887,21,74,658
Idan Avitan,972,515242793,7,159,1347
Adi Baruch,972,541558621,19,190,1413
Ronen Sultan,972,599860945,10,69,1500
Alon Lupin,972,561691832,19,168,885
Shelly Baruch,972,569903291,0,145,164
Idan Haddad,972,591094248,29,198,612
Kfir BenAri,972,519184399,5,175,1220
Nadav Malka,972,599251931,8,104,243
Noy Sultan,972,536164586,7,93,185
Sharon Avitan,972,525391201,6,19,731
Ronen Sultan,972,516657618,0,155,1360
Sharon Golani,972,550498348,30,39,187
Daniel Hazan,972,500854536,29,157,802
Hila Azoulay,972,534020034,7,99,1083
Yarden Sultan,972,516222394,21,90,1470
Sharon Haddad,972,573824568,26,112,1179
Kfir Moyal,972,581466336,16,82,1108
Adi Sharabi,972,590508403,30,121,713
Dana Tzadok,972,507802059,26,178,1118
Leah Levi,972,544172128,25,102,446
Hila Kaplan,972,574810069,22,87,630
Itay Moyal,972,530163078,0,151,839
Yona Kaplan,972,523618945,21,66,1383
Lior Moyal,972,571024040,22,29,726
Lior Biton,972,502120696,7,155,349
Lior Biton,972,561032675,23,71,71
Tal Biton,972,534597579,0,8,1330
Aviv BenAri,972,580788081,11,4,1211
Rina Derby,972,529887941,11,168,982
Daniel Hazan,972,540463160,3,109,1210
Eli Golani,972,548939941,22,131,26
Sharon Shalom,972,588181804,17,112,227
Idan Sasson,972,548998975,21,74,1114
Yuval Ninio,972,550060439,0,48,125
Idan Moyal,972,535426463,9,149,704
Tamar Cohen,972,508768862,21,48,951
Aviv BenAmi,972,501369161,16,52,251
Lior Golani,972,544536736,29,60,793
Roi Kaplan,972,582704939,20,192,848
Rotem Avitan,972,514529653,5,149,559
Alon Ninio,972,533205744,13,101,176
Adi Gabbay,972,584644910,11,146,606
Barak Shmueli,972,529323247,30,46,1454
Hila Golan,972,588737263,5,153,1052
Rotem Amar,972,582147496,13,5,111
Tal Biton,972,579712892,7,80,1050
Vered Shmueli,972,559723584,25,10,594
Sharon Hazan,972,555496179,8,87,1308
Noa Mor,972,531582116,7,29,435
Erez Shalom,972,590338440,29,188,1310
Maya Avitan,972,514953275,3,9,1067
Yoav Melamed,972,502208636,6,19,1441
Itay Golani,972,578155799,9,84,497
Rotem Kimchi,972,535104486,5,188,1247
Hila Haddad,972,596219012,8,190,1194
Maya Mizrahi,972,559894854,21,69,138
Alon Baruch,972,517357553,22,43,654
Hadar BenAri,972,588447052,13,59,405
Maya Peretz,972,502931422,22,147,1203
Eli Halimi,972,598927745,16,59,435
Gadi Avitan,972,526639763,9,170,365
Ilana Golani,972,535950950,18,115,1292
Erez Gabbay,972,526693474,6,78,212
Lior Shmueli,972,527333176,3,83,450
Rotem Gold,972,523084401,1,196,421
